Ticks,houses_avg_endoftick,houses_at_setup,links_avg,links_med,links_max,links_min,buyout_ratio_avg,buyout_ratio_med,buyout_ratio_max,buyout_ratio_min,successes_avg,fail_rate,pct_houses_bought,buyout_roc
0,527.2553191489362,540,93.90425531914893,94,100,88,1.0275208617021276,0.974785,1.363634,0.872742,13.25531914893617,0,0.9763987391646967,0.9730826712770078
1,503.51020408163265,540,87.13265306122449,86,97,80,0.9998627448979592,0.953481,1.384075,0.852815,36.97959183673469,0.020408163265306145,0.9324263038548752,1.0191344013962569
2,479,540,78.58,78,86,70,1.01899452,0.9574819999999999,1.637443,0.858358,61.5,0,0.8870370370370371,1.0419948087650168
3,454,540,67.38,68,72,59,1.061787,0.9731894999999999,1.504467,0.867405,86.5,0,0.8407407407407408,0.9437347441890725
4,429.2121212121212,540,58.18181818181818,58,66,53,1.0020452828282829,0.950024,1.370625,0.848257,111.28282828282828,0.010101010101010055,0.7948372615039281,0.9836486203676977
5,404.5,540,50.62,50,58,46,0.98566046,0.9637685,1.404363,0.858813,136,0,0.7490740740740741,1.0950538615795677
6,379.7171717171717,540,43.14141414141414,44,46,37,1.079351292929293,1.016629,1.41364,0.860474,160.77777777777777,0.010101010101010055,0.7031799476243921,0.942700014589682
7,355.46938775510205,540,39.8469387755102,39,45,35,1.0175044795918367,0.952988,1.545585,0.852112,185.0204081632653,0.020408163265306145,0.6582766439909297,1.0147581467299163
8,331,540,35.2,35,41,32,1.03252096,0.982691,1.468501,0.847057,209.5,0,0.6129629629629629,1.033282871296116
9,306.24242424242425,540,31.80808080808081,32,34,28,1.0668862222222222,0.996569,1.529893,0.856582,234.25252525252526,0.010101010101010055,0.5671156004489338,0.9486697132113034
10,281.6363636363636,540,27.757575757575758,28,31,24,1.0121226464646464,0.985767,1.400869,0.861166,258.85858585858585,0,0.5215488215488215,0.967585906380201
11,257.7938144329897,540,23.628865979381445,24,30,17,0.9793156082474227,0.951665,1.26012,0.857624,282.69072164948454,0.04123711340206182,0.47739595265368456,1.015520274868161
12,234.06185567010309,540,18.77319587628866,19,26,13,0.9945148556701031,0.954462,1.416702,0.842865,306.4226804123711,0.030927835051546393,0.43344788087056124,1.0530110375217816
13,210,540,15.22,16,19,10,1.04723512,0.966397,1.647737,0.856576,330.5,0,0.3888888888888889,1.0068566227626286
14,185.22222222222223,540,12.212121212121213,10,19,8,1.054415616161616,1.027346,1.454481,0.860258,355.27272727272725,0.010101010101010055,0.34300411522633745,0.9856879409271331
15,160.62626262626262,540,9.181818181818182,8,13,7,1.0393247575757576,0.954706,1.761916,0.848386,379.8686868686869,0.010101010101010055,0.2974560419004863,0.9936228292408156
16,136.53061224489795,540,5.244897959183674,4.5,9,3,1.032696806122449,0.959167,1.594207,0.844834,403.9591836734694,0.020408163265306145,0.25283446712018137,0.9987308897299972
17,112,540,2.38,2,4,2,1.0313862,0.9738635,1.5543960000000001,0.840157,428.5,0,0.2074074074074074,1.0239481001394046
18,87,540,0.94,1,2,0,1.05608594,0.970089,1.903953,0.853591,453.5,0,0.16111111111111112,0.9780976474976911
19,62.48979591836735,540,1.2857142857142858,1,2,1,1.0329551734693878,0.992144,1.812927,0.848783,478,0.020408163265306145,0.11572184429327287,0.9523344150216585
20,40.04347826086956,540,0.21739130434782608,0,1,0,0.9837187608695652,0.919433,1.463668,0.844677,500.4130434782609,0.08695652173913049,0.07415458937198068,1.0425695023248172
21,18.221052631578946,540,0,0,0,0,1.0255951789473685,0.94769,1.886457,0.830388,522.2631578947369,0.03157894736842104,0.03374269005847953,0.9665413378610537
22,4.954545454545454,540,0,0,0,0,0.9912801363636363,0.942742,1.321415,0.829973,535.5,0.09090909090909094,0.009175084175084175,0.9119314176072509
23,1.5,540,0,0,0,0,0.9039794999999999,0.9039794999999999,0.940518,0.867441,539,0,0.002777777777777778,NA
